"C","Day-Ahead Energy Market Hourly Demand Report"
"C","Filename: da_hourlydemand_20210423.csv"
"C","Report for: 04/23/2021 - 04/23/2021"
"C","Report generated: 04/23/2021 12:29:53 EDT"
"H","Date","Hour Ending","Day-Ahead Cleared Demand"
"H","Date","HE","MWh"
"D","04/23/2021","01",10703.0
"D","04/23/2021","02",10379.0
"D","04/23/2021","03",10143.0
"D","04/23/2021","04",10110.0
"D","04/23/2021","05",9930.0
"D","04/23/2021","06",10716.0
"D","04/23/2021","07",12123.0
"D","04/23/2021","08",12685.0
"D","04/23/2021","09",11826.0
"D","04/23/2021","10",10655.0
"D","04/23/2021","11",10481.0
"D","04/23/2021","12",10279.0
"D","04/23/2021","13",10214.0
"D","04/23/2021","14",10373.0
"D","04/23/2021","15",9925.0
"D","04/23/2021","16",9917.0
"D","04/23/2021","17",10210.0
"D","04/23/2021","18",11000.0
"D","04/23/2021","19",11559.0
"D","04/23/2021","20",12052.0
"D","04/23/2021","21",12107.0
"D","04/23/2021","22",11455.0
"D","04/23/2021","23",10517.0
"D","04/23/2021","24",9639.0
"T","24 lines"
