Time,T1,T2,Q1,Q2
0,26.506,22.993,0.0,0.0
1.01,26.699,23.154,0.0,0.0
2.02,27.021,23.154,0.0,0.0
3.0,27.086,23.477,0.0,0.0
4.01,27.344,23.477,0.0,0.0
5.01,27.344,23.477,0.0,0.0
6.01,27.666,23.734,0.0,0.0
7.01,27.73,23.799,0.0,0.0
8.01,27.988,23.799,0.0,0.0
9.01,27.988,23.799,0.0,0.0
10.01,27.988,24.024,0.0,0.0
11.01,28.311,24.121,0.0,0.0
12.01,28.311,24.121,0.0,0.0
13.01,28.311,24.121,0.0,0.0
14.0,28.568,24.25,0.0,0.0
15.01,28.633,24.411,0.0,0.0
16.01,28.633,24.443,0.0,0.0
17.01,28.633,24.443,0.0,0.0
18.0,28.633,24.443,0.0,0.0
19.01,28.665,24.443,0.0,0.0
20.01,28.665,24.443,0.0,0.0
21.0,28.826,24.508,0.0,0.0
22.01,28.665,24.669,0.0,0.0
23.0,28.923,24.701,0.0,0.0
24.0,28.955,24.766,0.0,0.0
25.01,28.955,24.766,0.0,0.0
26.01,28.955,24.766,0.0,0.0
27.01,28.923,24.766,0.0,0.0
28.01,28.923,24.766,0.0,0.0
29.0,28.923,24.766,0.0,0.0
30.01,28.858,24.766,0.0,0.0
31.0,28.955,24.766,0.0,0.0
32.01,28.891,24.798,0.0,0.0
33.0,28.891,24.766,0.0,0.0
34.01,28.762,24.766,0.0,0.0
35.01,28.891,24.766,0.0,0.0
36.0,28.794,24.766,0.0,0.0
37.01,28.858,24.766,0.0,0.0
38.0,28.633,24.766,0.0,0.0
39.01,28.665,24.766,0.0,0.0
40.01,28.633,24.766,0.0,0.0
41.0,28.633,24.766,0.0,0.0
42.0,28.633,24.766,0.0,0.0
43.01,28.633,24.766,0.0,0.0
44.0,28.633,24.766,0.0,0.0
45.01,28.633,24.798,0.0,0.0
46.01,28.633,24.766,0.0,0.0
47.01,28.633,24.766,0.0,0.0
48.0,28.536,24.766,0.0,0.0
49.01,28.536,24.766,0.0,0.0
50.0,28.375,24.766,0.0,0.0
51.01,28.311,24.766,0.0,0.0
52.0,28.311,24.766,0.0,0.0
53.01,28.311,24.766,0.0,0.0
54.01,28.246,24.766,0.0,0.0
55.0,28.311,24.766,0.0,0.0
56.01,28.311,24.766,0.0,0.0
57.01,28.311,24.766,0.0,0.0
58.01,28.182,24.766,0.0,0.0
59.01,28.085,24.766,0.0,0.0
60.0,28.021,24.766,0.0,0.0
61.01,27.988,24.766,0.0,0.0
62.01,27.988,24.766,0.0,0.0
63.01,27.956,24.766,0.0,0.0
64.01,27.988,24.766,0.0,0.0
65.0,27.924,24.733,0.0,0.0
66.01,27.988,24.733,0.0,0.0
67.0,27.666,24.701,0.0,0.0
68.01,27.73,24.733,0.0,0.0
69.0,27.666,24.604,0.0,0.0
70.01,27.666,24.443,0.0,0.0
71.0,27.666,24.572,0.0,0.0
72.01,27.537,24.508,0.0,0.0
73.01,27.666,24.443,0.0,0.0
74.01,27.537,24.508,0.0,0.0
75.0,27.569,24.443,0.0,0.0
76.01,27.473,24.443,0.0,0.0
77.01,27.344,24.443,0.0,0.0
78.01,27.344,24.443,0.0,0.0
79.01,27.344,24.443,0.0,0.0
80.01,27.344,24.443,0.0,0.0
81.0,27.312,24.443,0.0,0.0
82.0,27.344,24.443,0.0,0.0
83.01,27.344,24.443,0.0,0.0
84.01,27.215,24.379,0.0,0.0
85.0,27.215,24.379,0.0,0.0
86.0,27.021,24.347,0.0,0.0
87.0,27.021,24.379,0.0,0.0
88.0,27.021,24.282,0.0,0.0
89.01,27.021,24.186,0.0,0.0
