Time,T1,T2,Q1,Q2
0,17.998,17.998,0.0,0.0
2.01,17.998,17.998,0.0,0.0
4.01,18.03,17.998,0.0,0.0
6.01,17.998,17.998,0.0,0.0
8.0,18.159,17.998,0.0,0.0
10.01,17.998,17.998,0.0,0.0
12.0,18.03,17.998,0.0,0.0
15.01,18.03,17.998,0.0,0.0
18.01,18.063,17.998,0.0,0.0
20.01,17.998,17.998,0.0,0.0
22.01,18.03,17.998,0.0,0.0
25.01,18.256,17.998,0.0,0.0
27.01,18.288,17.998,0.0,0.0
30.01,18.288,17.998,0.0,0.0
32.01,18.063,17.998,0.0,0.0
34.01,18.127,17.998,0.0,0.0
36.0,18.224,17.998,0.0,0.0
38.01,18.191,18.03,0.0,0.0
40.01,18.095,17.998,0.0,0.0
43.01,18.191,17.998,0.0,0.0
46.01,18.32,18.03,0.0,0.0
48.01,18.32,17.998,0.0,0.0
51.01,18.063,17.998,0.0,0.0
54.01,17.998,17.998,0.0,0.0
56.0,17.998,17.998,0.0,0.0
58.0,18.127,18.063,0.0,0.0
60.01,18.288,17.998,0.0,0.0
62.01,18.03,17.998,0.0,0.0
64.01,18.224,17.998,0.0,0.0
66.01,18.288,18.03,0.0,0.0
68.02,18.191,17.998,0.0,0.0
70.0,18.159,18.03,0.0,0.0
72.01,18.127,18.03,0.0,0.0
74.0,18.32,18.03,0.0,0.0
77.01,18.32,17.998,0.0,0.0
79.01,18.288,18.03,0.0,0.0
81.0,18.32,18.03,0.0,0.0
83.0,18.32,18.03,0.0,0.0
86.0,18.32,17.998,0.0,0.0
89.01,18.288,18.063,0.0,0.0
92.0,18.32,18.063,0.0,0.0
94.01,18.32,18.03,0.0,0.0
97.01,18.32,18.03,0.0,0.0
99.01,18.32,17.998,0.0,0.0
101.01,18.32,18.063,0.0,0.0
103.01,18.32,18.03,0.0,0.0
105.01,18.32,18.03,0.0,0.0
107.01,18.32,18.03,0.0,0.0
109.0,18.288,18.03,0.0,0.0
111.01,18.32,18.03,0.0,0.0
113.0,18.288,18.127,0.0,0.0
115.0,18.32,18.03,0.0,0.0
118.0,18.32,18.03,0.0,0.0
121.01,18.353,18.159,60.0,0.0
124.01,18.32,18.095,60.0,0.0
127.01,18.353,18.159,60.0,0.0
